性别,最高学历,大学类型,标准化借款类型,担保,项目金额,收益,周期_月,月还本息,总还款本息,借款描述字数,累积借款金额,累积还款金额,累积逾期金额,累积已还次数,累积逾期次数,累积逾借金额比,累积逾期次数比,安全标
男,专科,重点高校,付房租,是,1000,77.18,6,179.53,1077.18,3,7367.37,10175.32,0,44,0,0,0,0
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,68,1000,1059.12,0,6,0,0,0,1
男,本科,其他,担保交易,是,2442.12,188.52,6,438.44,2630.64,0,500,529.56,0,6,0,0,0,1
男,本科,其他,担保交易,是,222.63,17.19,6,39.97,239.82,0,5919.48,6326.17,0,72,0,0,0,1
男,本科,其他,旅游,是,500,29.56,6,88.26,529.5599,8,4800,5032.53,0,30,0,0,0,1
男,本科,其他,购物,是,500,27.36,4,131.84,527.36,4,0,0,0,0,0,0,0,1
男,本科,其他,学习进修,否,1000,77.18,6,179.53,1077.18,25,630,678.66,0,12,0,0,0,1
男,本科,其他,生活开销,否,300,23.16,6,53.86,323.16,20,2700,2908.5,0,36,0,0,0,1
男,本科,其他,其他,是,1604.95,123.89,6,288.14,1728.84,0,4675.67,4946.22,0,46,0,0,0,1
男,本科,其他,学习进修,否,1000,59.12,6,176.52,1059.119,17,0,0,0,0,0,0,0,1
男,本科,其他,学习进修,否,1000,77.18,6,179.53,1077.18,22,0,0,0,0,0,0,0,1
男,本科,其他,创业,否,1000,59.12,6,176.52,1059.119,33,0,0,0,0,0,0,0,1
男,本科,其他,担保交易,否,382.11,22.59,6,67.45,404.7,0,1800,2012.31,0,12,0,0,0,1
男,本科,其他,学习进修,否,1000,50.55,5,210.11,1050.55,113,3000,3177.51,0,18,0,0,0,1
男,本科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,29,5396.81,7007.16,0,31,0,0,0,1
男,本科,其他,生活开销,否,1000,59.12,6,176.52,1059.119,2,1000,1059.31,0,6,0,0,0,1
女,本科,其他,购物,是,400,30.86,6,71.81,430.86,7,2597.89,2751.51,0,24,0,0,0,1
男,本科,其他,购物,否,1000,16.67,1,1016.67,1016.67,7,6400,6735.75,0,26,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,9,6000,6989.92,0,36,0,0,0,1
男,专科,其他,学习进修,否,300,9.77999,2,154.8899,309.7799,53,0,0,0,0,0,0,0,1
男,本科,其他,创业,是,1000,43.64,3,347.88,1043.64,13,1000,1032.15,0,5,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,16,1000,1179.56,0,6,0,0,0,1
男,专科,其他,学习进修,是,700,41.42,6,123.57,741.42,68,4000,4767.34,0,24,0,0,0,0
男,本科,其他,学习进修,否,1000,59.12,6,176.52,1059.119,188,0,0,0,0,0,0,0,1
女,专科,其他,创业,否,1000,59.12,6,176.52,1059.119,11,1000,1059.12,0,6,0,0,0,1
男,本科,其他,购物,否,1000,43.64,3,347.88,1043.64,13,0,0,0,0,0,0,0,1
女,本科,其他,担保交易,是,468.42,36.18,6,84.1,504.6,0,4865.19,4989.31,3600.87,46,9,0.42533007,0.16363636,0
女,本科,其他,购物,是,500,38.6199,6,89.77,538.62,26,7000,7574.85,0,41,0,0,0,1
男,本科,其他,学习进修,否,1000,77.18,6,179.53,1077.18,19,7000,7755.22,0,33,0,0,0,1
男,本科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,8,1000,1077.18,0,6,0,0,0,1
男,专科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,13,1000,1543.45,0,6,0,0,0,1
女,本科,其他,生活开销,是,1000,59.12,6,176.52,1059.119,9,4000,4650.63,0,24,0,0,0,1
男,本科,其他,旅游,是,1000,68.12,6,178.02,1068.119,21,1500,1606.74,0,12,0,0,0,1
