性别,最高学历,大学类型,标准化借款类型,担保,项目金额,收益,周期_月,月还本息,总还款本息,借款描述字数,累积借款金额,累积还款金额,累积逾期金额,累积已还次数,累积逾期次数,累积逾借金额比,累积逾期次数比,安全标
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,35,3000,2693.24,724.34,15,3,0.19448815,0.16666667,0
男,专科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,101,0,0,0,0,0,0,0,1
男,本科,其他,创业,是,500,38.6199,6,89.77,538.62,121,3000,3234.82,0,36,0,0,0,1
男,本科,其他,创业,是,500,38.6199,6,89.77,538.62,121,4000,4312.46,0,48,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,16,3000,2264.9,1690.69,12,6,0.36043525,0.33333334,0
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,42,0,0,0,0,0,0,0,1
男,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,5,0,0,0,0,0,0,0,0
女,专科,其他,付房租,是,1000,77.18,6,179.53,1077.18,64,3000,3231.54,0,18,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,12,4000,3591.74,961.03,20,4,0.19371583,0.16666667,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,17,1000,1272.72,0,6,0,0,0,1
女,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,39,3000,1077.83,3614.62,6,12,0.5464592,0.6666667,0
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,2,3000,3779.01,0,18,0,0,0,1
男,本科,其他,购物,是,1000,21.67,1,1021.67,1021.67,7,6000,0,11899.77,0,8,0.66480017,1,0
女,本科,其他,付房租,是,1000,77.18,6,179.53,1077.18,16,0,0,0,0,0,0,0,0
女,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,36,0,0,0,0,0,0,0,0
女,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,41,5000,1982.7,7859.16,7,23,0.61117214,0.76666665,0
女,专科,其他,学习进修,是,1000,43.64,3,347.88,1043.64,36,5000,0,11980.75,0,15,0.70554894,1,0
男,本科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,41,1000,718.19,858.98,3,3,0.46207058,0.5,0
男,本科,其他,购物,是,1000,43.64,3,347.88,1043.64,66,4000,6361.53,0,12,0,0,0,0
男,本科,其他,社交娱乐,是,1000,59.12,6,176.52,1059.119,28,0,0,0,0,0,0,0,1
男,本科,其他,创业,是,1000,43.64,3,347.88,1043.64,13,2000,2130,0,2,0,0,0,1
男,本科,其他,学习进修,是,1000,43.64,3,347.88,1043.64,24,0,0,0,0,0,0,0,0
男,专科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,48,0,0,0,0,0,0,0,1
男,专科,其他,学习进修,是,1000,43.64,3,347.88,1043.64,4,3000,4734.41,0,9,0,0,0,1
女,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,10,5000,6810.48,0,30,0,0,0,1
男,本科,其他,社交娱乐,是,1000,65.95,5,213.19,1065.95,8,4000,4297.96,0,23,0,0,0,1
女,专科,其他,创业,是,1000,43.64,3,347.88,1043.64,23,2000,2087.28,0,6,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,3,0,0,0,0,0,0,0,0
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,21,5000,5387.8,0,30,0,0,0,1
男,专科,其他,学习进修,是,1000,43.64,3,347.88,1043.64,2,4000,0,9134.5,0,12,0.69545853,1,0
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,5,1000,359.08,1209.22,2,4,0.54735154,0.6666666,0
男,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,41,3000,2318.55,1601.59,12,6,0.34805143,0.33333334,0
男,专科,其他,学习进修,是,1000,32.6199,2,516.3099,1032.619,12,2000,0,4619.62,0,4,0.6978679,1,0
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,247,4000,1109.91,6774.34,4,20,0.6287476,0.8333333,0
男,本科,其他,旅游,是,1000,65.95,5,213.19,1065.95,29,2000,213.42,3548.29,1,9,0.6395286,0.9,0
男,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,35,1000,897.65,235.42,5,1,0.19055867,0.16666666,0
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,18,4000,0,8020.53,0,24,0.667236,1,0
男,专科,其他,创业,是,1000,77.18,6,179.53,1077.18,45,1000,930.85,553.77,4,2,0.3564041,0.3333333,0
女,本科,其他,学习进修,是,1000,47.18,6,174.53,1047.18,16,4000,4188.72,0,24,0,0,0,1
男,本科,其他,学习进修,是,1000,47.18,6,174.53,1047.18,4,1000,1047.18,0,6,0,0,0,1
男,本科,其他,购物,是,1000,47.18,6,174.53,1047.18,28,1000,1047.18,0,6,0,0,0,1
男,本科,其他,生活开销,是,1000,47.18,6,174.53,1047.18,15,4000,4188.72,0,24,0,0,0,1
男,本科,其他,购物,是,1000,47.18,6,174.53,1047.18,33,4000,4188.84,0,24,0,0,0,1
男,本科,重点高校,付房租,是,1000,47.18,6,174.53,1047.18,9,3000,3141.48,0,18,0,0,0,1
男,本科,其他,创业,是,1000,47.18,6,174.53,1047.18,22,1000,1047.18,0,6,0,0,0,1
女,本科,重点高校,购物,是,1000,47.18,6,174.53,1047.18,2,4000,4188.96,0,24,0,0,0,1
男,本科,其他,购物,是,1000,47.18,6,174.53,1047.18,4,3000,2967.18,0,17,0,0,0,1
男,本科,其他,旅游,是,1000,21.67,1,1021.67,1021.67,21,7000,0,14243.79,0,7,0.67049193,1,0
男,本科,其他,学习进修,是,1000,65.95,5,213.19,1065.95,21,4000,2216.51,3898.32,9,11,0.49356318,0.55,0
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,26,1000,1221.41,0,6,0,0,0,0
男,本科,其他,旅游,是,1000,43.64,3,347.88,1043.64,8,1000,0,1601.19,0,1,0.6155606,0.9999999,0
女,本科,其他,旅游,是,1000,43.64,3,347.88,1043.64,31,3000,4047.9,0,11,0,0,0,1
男,本科,其他,创业,是,1000,65.95,5,213.19,1065.95,19,3000,0,6053.16,0,15,0.668624,1,0
女,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,29,5000,0,9613.35,0,30,0.6578471,1,0
男,专科,其他,学习进修,是,1000,43.64,3,347.88,1043.64,20,1000,0,2129.51,0,3,0.68046117,0.99999994,0
女,本科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,25,1000,1077.24,0,6,0,0,0,1
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,14,1000,1147.95,0,6,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,10,1000,1077.37,0,6,0,0,0,1
男,本科,其他,社交娱乐,是,1000,77.18,6,179.53,1077.18,27,4000,4532.52,0,24,0,0,0,1
男,专科,其他,学习进修,是,1000,32.6199,2,516.3099,1032.619,13,3000,0,6502.04,0,7,0.6842783,1,0
男,专科,其他,购物,是,1000,77.18,6,179.53,1077.18,4,6000,6102.66,0,20,0,0,0,1
男,专科,其他,旅游,是,1000,43.64,3,347.88,1043.64,32,1000,0,2124.02,0,3,0.67989963,0.99999994,0
男,本科,其他,创业,否,1000,21.67,1,1021.67,1021.67,10,0,0,0,0,0,0,0,1
男,硕士研究生,重点高校,购物,是,1000,21.67,1,1021.67,1021.67,2,0,0,0,0,0,0,0,1
男,本科,其他,购物,是,1000,21.67,1,1021.67,1021.67,2,6000,0,10952.16,0,6,0.6460628,1,0
男,本科,其他,创业,是,1000,21.67,1,1021.67,1021.67,17,0,0,0,0,0,0,0,0
男,本科,其他,购物,是,1000,43.64,3,347.88,1043.64,7,2000,2089.5,0,6,0,0,0,1
男,本科,其他,购物,是,1000,21.67,1,1021.67,1021.67,9,1000,1022.76,0,1,0,0,0,1
男,本科,其他,生活开销,否,1000,21.67,1,1021.67,1021.67,24,1000,1021.67,0,1,0,0,0,1
女,专科,其他,付房租,是,1000,21.67,1,1021.67,1021.67,31,0,0,0,0,0,0,0,0
男,本科,其他,创业,是,1000,21.67,1,1021.67,1021.67,5,4000,5522.31,0,4,0,0,0,1
女,本科,其他,创业,是,1000,43.64,3,347.88,1043.64,29,4000,4272.18,0,9,0,0,0,1
女,本科,其他,学习进修,是,1000,21.67,1,1021.67,1021.67,13,1000,0,2000.88,0,1,0.66676444,0.9999999,0
男,专科,其他,创业,是,1000,21.67,1,1021.67,1021.67,17,3000,0,5910.73,0,3,0.6633272,0.99999994,0
男,专科,其他,购物,是,1000,21.67,1,1021.67,1021.67,3,4000,2920.82,3769.96,2,2,0.48519683,0.5,0
女,本科,其他,购物,是,1000,43.64,3,347.88,1043.64,40,6000,0,10684.74,0,18,0.64039,1,0
男,本科,其他,创业,是,1000,21.67,1,1021.67,1021.67,17,1000,1312.11,0,1,0,0,0,1
男,本科,其他,购物,是,1000,21.67,1,1021.67,1021.67,35,1000,0,1964.88,0,1,0.66271824,0.9999999,0
女,本科,其他,购物,是,1000,43.64,3,347.88,1043.64,2,0,0,0,0,0,0,0,1
女,硕士研究生,其他,创业,是,1000,43.64,3,347.88,1043.64,18,0,0,0,0,0,0,0,1
女,本科,其他,购物,是,1000,43.64,3,347.88,1043.64,5,2000,2087.28,0,6,0,0,0,1
女,本科,其他,学习进修,是,1000,21.67,1,1021.67,1021.67,29,0,0,0,0,0,0,0,1
男,专科,其他,购物,是,1000,21.67,1,1021.67,1021.67,15,1000,1021.67,0,1,0,0,0,1
男,专科,其他,旅游,是,780,22.5,2,401.25,802.5,24,0,0,0,0,0,0,0,0
女,本科,重点高校,学习进修,是,1000,77.18,6,179.53,1077.18,4,2000,2266.14,0,12,0,0,0,1
男,本科,其他,创业,是,1000,21.67,1,1021.67,1021.67,30,0,0,0,0,0,0,0,1
女,本科,其他,购物,是,2000,87.28,3,695.76,2087.28,20,2000,0,2828.17,0,1,0.58576435,0.9999999,0
女,本科,其他,购物,是,3000,65,1,3065,3065,8,0,0,0,0,0,0,0,1
女,本科,其他,旅游,是,3500,75.83,1,3575.83,3575.83,22,0,0,0,0,0,0,0,1
男,专科,其他,生活开销,是,6000,115,1,6115,6115,16,5000,5325,0,1,0,0,0,1
